dim,price,title,weight,rating
11.1 x 1 x 10.2 inches,$16.99,"i-Blason ArmorBox Kido Series Light Weight Super Protection Convertable Stand Cover Case for Apple iPad 4 iPad 4G iPad 4th Generation iPad with Retina Display iPad 2, The New iPad 3 (Pink)",11.2 ounces,4.4 out of 5 stars
9.3 x 7.9 x 0.8 inches,$13.49,"Topsky Shock-Absorption Three Layer Armor Defender Protective Case for iPad 2,3,4 with Stylus and Screen Protector - Grey/Pink",9.6 ounces,3.8 out of 5 stars
9.8 x 7.5 x 0.6 inches,$15.99,"iPad 2 Case/iPad 3/iPad 4 Case, ESR Illustrators Series Folio Case Stand Case Smart Cover with [Auto Wake Up/Sleep Function] for iPad 4/iPad 3/iPad 2(Eiffel Tower)",9.1 ounces,4.1 out of 5 stars
10.1 x 8 x 1 inches,$14.99,SAVEICON Blue Hybrid iPad 2 / 3 / 4 PU leather Case Cover with Card Slots Auto Wake / Sleep Smart Cover Book Shell Stand for Apple iPad 2/3/4 iPad 2nd 3rd 4th Gen Wifi 3G 4G LTE with Built-in Stand,8 ounces,4.1 out of 5 stars
10 x 7.3 x 0.9 inches,$14.95,Cellularvilla Apple Ipad2 Ipad3 Ipad4 Gen Genration Pink Glitter 360 Degree Rotating Flip Folio Case Cover with Auto Sleep/wake Feature Stand,9.6 ounces,4.2 out of 5 stars
9.9 x 7.5 x 0.9 inches,$10.99,HDE Rotating iPad Case Magnetic Folding Leather Cover Folio Flip Stand for Apple iPad 2 iPad 3 iPad 4 (Purple),10.4 ounces,3.8 out of 5 stars
9.5 x 7 x 1 inches,$10.99,HDE iPad Air 2 Tablet Case 360 Rotating Flip Stand Folding Folio Magnetic Cover Leather for Apple iPad Air 2 (US Flag),8 ounces,3.8 out of 5 stars
13.4 x 9 x 1.6 inches,$22.99,"Laptop Shoulder Bag Briefcase, Mosiso Polyester 13-13.3 Inch Carry Case Handbag for 12.9 iPad Pro / 13.3 Inch Laptop / Notebook Computer / MacBook Air / MacBook Pro, Black",1.1 pounds,4.5 out of 5 stars
11.1 x 1 x 8 inches,$39.95,Apple iPad Air 2 Hideaway with Stand Blue Gumdrop Cases Silicone Rugged Shock Absorbing Protective Dual Layer Cover Case,12 ounces,4.3 out of 5 stars
9.6 x 7.7 x 1.1 inches,$15.99,"Fintie iPad 2/3/4 Case - 360 Degree Rotating Stand Smart Cover with Auto Sleep / Wake Feature for Apple iPad 2, the new iPad 3 & iPad 4th Generation with Retina Display - Composition Book Green",15.2 ounces,4.3 out of 5 stars
8.4 x 5.7 x 0.6 inches,$6.99,"Cesert iPad Mini Case, iPad mini 2/3 Case - Leather Stand Case with Auto Sleep/Wake Function for Apple iPad Mini, iPad Mini 2 & 3- BLACK",4.8 ounces,
10.8 x 9.1 x 1.2 inches,$34.99,"Logitech Type+ Protective Case with Integrated Keyboard for iPad Air 2, Carbon Black -(Certified Refurbished)",1.6 pounds,4.5 out of 5 stars
9.6 x 7.5 x 0.8 inches,$18.99,"Fintie Folio Case for Apple iPad 4th Generation with Retina Display, iPad 3 & iPad 2 Vegan Leather Stand with Smart Cover Auto Wake / Sleep - Vintage Antique Bronze",11.2 ounces,4.4 out of 5 stars
6 x 12.6 x 0.9 inches,$9.50,"T&G Auto Sleep/Wake Function Magnetic 360 Degree Rotating Smart Stand Case Cover for 9.7 inch iPad 2/3/4 Tablets with a Stylus as a Gift--Floral Embossed Flower Pattern,Black",1.8 ounces,2.7 out of 5 stars
2.4 x 12.4 x 10.8 inches,$14.99,Fisher-Price Laugh & Learn Blue Apptivity Case for iPad Devices,2.1 pounds,3.8 out of 5 stars
11 x 1 x 7.2 inches,$22.50,iPad Air Headrest Mount For Car- iPad Air and Air 2 - Holder in Car Will Keep the iPad Secure Within A Strong PU Leather Case. Safest iPad Car Mount,6.1 ounces,4.6 out of 5 stars
6.5 x 3.5 x 0.2 inches,$7.99,"iPad Mini Screen Protector,iPad Mini 2 3 Screen Protector Akimoom Premium Tempered Glass 2.5D 9H Hardness 0.26mm Ultra Slim Clear Scratch Proof Shatterproof Bubble-free Ballistic Liquid Glass Film",0.3 ounces,4.9 out of 5 stars
9.7 x 7.6 x 0.6 inches,$13.99,"iPad Case, iPad 2/3/4 Case, Alugs Ultra Slim Fashion Painting Cute Design PU Leather Wallet Magnetic Case Cover for Apple iPad 2/3/4 (Bear)",5.6 ounces,4.1 out of 5 stars
9.9 x 7.4 x 0.9 inches,$10.99,HDE Rotating iPad Case Magnetic Folding Leather Cover Folio Flip Stand for Apple iPad 2 iPad 3 iPad 4 (Pink & White Polka Dot),10.4 ounces,3.8 out of 5 stars
11.6 x 7.6 x 0.6 inches,$9.99,"Aduro ROTATA CABANA Pattern 360 Degrees Rotating Stand Case for Apple iPad 2, iPad 3 and iPad 4th Generation (Retail Packaging)",12 ounces,4.1 out of 5 stars
12 x 8.6 x 0.4 inches,,"Snugg iPad 2 / 3 / 4 Silicone Case in Black - Non-Slip Material, Protective and Soft to Touch for the Apple iPad 2 / iPad 3 / iPad 4",5 ounces,4.3 out of 5 stars
